id,user,created_at,text
1049744915066998784,Windows,2018-10-09 19:34:25,"@deepxthirdteenz We're glad you think so, Akmal! How has the rest of the Windows experience been lately?"
1049744564507078658,Windows,2018-10-09 19:33:02,@Caladrius_kun Hey! What kind of laptop did you end up getting? Is it running Windows 10?
1049736263576764416,Windows,2018-10-09 19:00:03,Make timelines in no time in PowerPoint thanks to intuitive new tools for the digital pen in #Windows10. Get more i… https://t.co/4jRXf2EjCc
1049736255121047552,Windows,2018-10-09 19:00:01,"@cris_midnight Hey, there. Thanks for your patience! When are you seeing this issue? We'd love  to help."
1049735732246532098,Windows,2018-10-09 18:57:56,@Adi735 How odd. Let's have you try the steps in this troubleshooter: https://t.co/ATcNOKjfDu Let us know how it goes.
1049734728587386881,Windows,2018-10-09 18:53:57,"@Prod7gyGaming Hey, there! If you're on the hunt for a new PC, let us know! We're more than happy to help you pick one out."
1049733735573331968,Windows,2018-10-09 18:50:00,"@k40s Hey, Alberto. We appreciate your patience. Updates help keep your device safe and secure. How is your device running now?"
1049733598776045568,Windows,2018-10-09 18:49:27,"@CelOliviax Hello, Celine! Which error code in particular are you seeing? We're here to help."
1049731974405996550,Windows,2018-10-09 18:43:00,@Qwecky Hello! Thanks for getting our attention about these! Can you share more about when this started?
1049730847233007616,Windows,2018-10-09 18:38:31,"@aramachandra Hi, Ram! When did this first start? We'd love to help."
1049730325499273216,Windows,2018-10-09 18:36:27,"@robertcsousa Hi, Robert. Thanks for getting our attention. Which update is causing this? We're here to help."
1049729072056688643,Windows,2018-10-09 18:31:28,"@PilotDave3 Hey, Dave! Thanks for your patience. Are you back to work after the update?"
1049724302160003073,Windows,2018-10-09 18:12:31,@one_solo Glad to hear it! 👍 Which new improvements or changes have been catching your eye?
1049723265642614785,Windows,2018-10-09 18:08:24,@declaa Excellent! Do you use any Windows features or apps to help you stay productive while you work?
1049722279716945927,Windows,2018-10-09 18:04:29,@LittleTreeFrogs Hello! What happened leading to these crashes? We're here to help.
1049721404483166208,Windows,2018-10-09 18:01:00,@keyperspective Cool! 🙌 Let us know what you think!
1049713603279028226,Windows,2018-10-09 17:30:00,@Krahysis Hello! When did this box first start popping up for you? We'd love to help.
1049712711079251968,Windows,2018-10-09 17:26:27,"@TridentPandi Hello, Pandi! Are you still seeing any issues with your PC? We're here to help."
1049711214081785858,Windows,2018-10-09 17:20:30,"@RaccasGaming Hello, Raccas! Are you back to gaming today? We're checking in."
1049710681384263680,Windows,2018-10-09 17:18:23,"@LElkan Hi, Larry. We appreciate your patience with the updates. How is your PC running for you today?"
1049703228886183938,Windows,2018-10-09 16:48:46,"@Weasley009 Hey, Dylan. We're happy to hear you're enjoying Microsoft Edge on your device! Feel free to reach out if you have questions."
1049688791001288704,Windows,2018-10-09 15:51:24,@discodragon95 We completely understand. Could you share a few more details about the make and model of your PC? We… https://t.co/f7BUFAySBy
1049687040097439745,Windows,2018-10-09 15:44:27,@HeyiamHero Sounds good! Feel free to reach out if you have questions. We're always just a tweet away!
1049684029262446595,Windows,2018-10-09 15:32:29,"@discodragon95 Alright, gotcha. We recommend following the steps in this Windows blue screen troubleshooter:… https://t.co/LTqlizfGHE"
1049683378914635780,Windows,2018-10-09 15:29:54,"@DerrickGenther Understood. We're glad it was successful. Keep us posted on how the SSD install goes. We're here to help, if needed."
1049682771378094080,Windows,2018-10-09 15:27:29,@disciplesJerry Happy to hear things are in order now. We're always hunting for new ways to improve. Make sure to s… https://t.co/VwjRWdDCfl
1049682104836124672,Windows,2018-10-09 15:24:50,"@declaa Ah, nice! Have you been using Windows to work on any cool projects lately?"
1049681651683475456,Windows,2018-10-09 15:23:02,@SvenDaHacker64 Do you have any masterpieces you'd like to share with us? 🖌🎨 We love seeing what our users are capable of creating!
1049680777372413954,Windows,2018-10-09 15:19:34,@nicola_onofri Glad we could be part of your journey! 😃 Which change or improvement has been your favorite over the years?
1049679631379550208,Windows,2018-10-09 15:15:00,@keserwan Glad to hear it! We're always working to improve. Have you shared your feedback and experience with us he… https://t.co/krxYaGT9s7
1049678632191492097,Windows,2018-10-09 15:11:02,@yagyaansh Cool! Have you tried the new Photos app? https://t.co/lxFj90mt0B We'd love to hear what you think of it!
1049678010176147458,Windows,2018-10-09 15:08:34,@Kukuebe That's quite impressive! 👍 Which Windows apps do you find to be the most helpful?
1049674208794607616,Windows,2018-10-09 14:53:28,"@jbrophy88 Thanks for logging feedback, John. 👍 It allows us to make Windows even better!"
1049671455607324672,Windows,2018-10-09 14:42:31,"@adam_technstuff Hey, Adam. We wanted to check in. Were you able to successfully update your device?"
1049671198462894080,Windows,2018-10-09 14:41:30,@anthonyhunter69 Right on! 🍂 We look forward to seeing them!
1049670791607009280,Windows,2018-10-09 14:39:53,"@bansalkrishan Amazing memories, Krishan!"
1049670066684485632,Windows,2018-10-09 14:37:00,"@starmoon4u Ah, okay! Let us know if you ever have questions. 😊 We're always here if you need us!"
1049669815055585281,Windows,2018-10-09 14:36:00,@DrewHD1903 That's great. Thank you for being a loyal user.
1049668452498182144,Windows,2018-10-09 14:30:35,@KathRella Glad we could help! 🙂 How has the rest of your Windows experience been lately?
1049668053615738880,Windows,2018-10-09 14:29:00,@keyperspective Right on! Have you heard of Surface All Access? https://t.co/GjM0HJVAvl
1049663142572318721,Windows,2018-10-09 14:09:29,@Gachanja_ We're always working to improve. Make sure to share your feedback with us here: https://t.co/xXNOCZdTcE
1049476155806535680,Windows,2018-10-09 01:46:28,@JustinWWaldrop We appreciate your concern! We're happy to hear your update was uneventful! How are you liking it so far?
1049475739790319623,Windows,2018-10-09 01:44:49,"@feryardiant Okay, understood. Thanks for getting back to us. Have you made sure to log this in the Feedback Hub? https://t.co/4g2h03yPwS"
1049474024403869698,Windows,2018-10-09 01:38:00,"@lyfung76 Oh, how interesting! Can you share more with us about these misplaced items? Which items in particular?"
1049471622867021824,Windows,2018-10-09 01:28:27,"@ArchApex_ We appreciate you saying so! Thanks for following up with us, Noah. 💙"
1049471121228206086,Windows,2018-10-09 01:26:28,@HeyiamHero Thanks for getting back to us. Have you been able to run this troubleshooter yet? https://t.co/ABN9rhelCS
